model,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,notes
logreg,val,0.3333333333333333,0.3231573533563623,0.328319597069597,0.3167223581016684,0.3200002966382276,C=0.1; class_weight=balanced; pca=None; val_macro_f1=0.3167
logreg,test,0.25,0.2982762498938969,0.2496367296918767,0.2563596325462451,0.2565687906377561,C=0.1; class_weight=balanced; pca=None; val_macro_f1=0.3167
rf,val,0.3166666666666666,0.3250801282051282,0.3099776449041155,0.3144144807937911,0.3221654292918661,n_estimators=600; max_depth=None; min_samples_leaf=3; class_weight=None; val_macro_f1=0.3144
rf,test,0.2833333333333333,0.27497224997225,0.2835040266106442,0.2736807845834215,0.2735738285941125,n_estimators=600; max_depth=None; min_samples_leaf=3; class_weight=None; val_macro_f1=0.3144
cnn,val,0.11666666666666667,0.059662673392181585,0.11675824175824176,0.06695733511771249,0.06531569059870948,logmel train-stat normalization; conv filters 16/32/64; dropout 0.15/0.20/0.25/0.35; Adam lr=5e-4; early stopping patience=8
cnn,test,0.10833333333333334,0.046931216931216935,0.1040266106442577,0.056433472630655734,0.05798723967738052,logmel train-stat normalization; conv filters 16/32/64; dropout 0.15/0.20/0.25/0.35; Adam lr=5e-4; early stopping patience=8
