model,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
logreg,val,0.325,0.3111573597970656,0.3324475463262228,0.3139467592592592,0.3094013047138047
logreg,test,0.2833333333333333,0.3253201659451659,0.2785670518207283,0.2878206566561705,0.2921655645529609
rf,val,0.2833333333333333,0.2927657685881369,0.2855200253178194,0.2706298550587344,0.2683722922192749
rf,test,0.2583333333333333,0.2627781867255552,0.2618391106442577,0.255684459218942,0.2540587056621539
cnn,val,0.2833333333333333,0.32162135539795117,0.26995360644257704,0.19690348445212888,0.20788186971899272
cnn,test,0.20833333333333334,0.1645358868184955,0.21022846638655462,0.14395486264681312,0.1448800923878323
