model,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,notes,duration_seconds,feature_set,diagnostic_split
logreg,val,0.3333333333333333,0.3157028187455819,0.32966292286145227,0.31706950456950456,0.3224286515953183,subject_aware; duration=10s; feature_set=combined,10.0,combined,subject_aware
rf,val,0.35833333333333334,0.3618454838075581,0.35463767237664295,0.35370879120879123,0.3600160256410257,subject_aware; duration=10s; feature_set=combined,10.0,combined,subject_aware
svm,val,0.31666666666666665,0.3037396903205727,0.31151725113122175,0.2962054124029154,0.303057158008531,subject_aware; duration=10s; feature_set=combined,10.0,combined,subject_aware
logreg,val,0.35,0.3699219081572023,0.343244653630683,0.33673635105860167,0.3431848675326936,subject_aware; duration=20s; feature_set=combined,20.0,combined,subject_aware
rf,val,0.25,0.2196316102198455,0.24678207821590176,0.22613970588235296,0.2312916666666667,subject_aware; duration=20s; feature_set=combined,20.0,combined,subject_aware
svm,val,0.25833333333333336,0.2302215758098111,0.25160121741004093,0.2330685428030798,0.24100605072245074,subject_aware; duration=20s; feature_set=combined,20.0,combined,subject_aware
logreg,val,0.3333333333333333,0.3365607158541941,0.33066553544494726,0.3155102676197753,0.3174851581905911,subject_aware; duration=30s; feature_set=combined,30.0,combined,subject_aware
rf,val,0.3,0.29424137953549717,0.29617774994613233,0.28930811373978127,0.2946604160938952,subject_aware; duration=30s; feature_set=combined,30.0,combined,subject_aware
svm,val,0.225,0.23015928515928516,0.22586962669683258,0.21576574811719124,0.21776731531060903,subject_aware; duration=30s; feature_set=combined,30.0,combined,subject_aware
rf,test,0.275,0.25805132988636825,0.2797487745098039,0.2628759284362733,0.2594300201455374,subject_aware; duration=10s; feature_set=combined,10.0,combined,subject_aware
